condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.8674658395383031,0.0,vintern_clean
N1,accent_removal,2,0.8002858391288167,0.06718000040948646,vintern_clean
N2,tone_confusion,2,0.8595015147731235,0.007964324765179609,vintern_clean
N3,vowel_diacritic_confusion,2,0.863847696486338,0.0036181430519651725,vintern_clean
N4,dd_confusion,2,0.868450179129059,-0.0009843395907558339,vintern_clean
N5,character_confusion,2,0.8190077446472792,0.04845809489102393,vintern_clean
N6,glyph_confusion,2,0.8678795943867682,-0.0004137548484650644,vintern_clean
N7,character_deletion,2,0.8177070708611786,0.04975876867712459,vintern_clean
N10,token_deletion,2,0.8279056625408243,0.039560176997478824,vintern_clean
N13,line_shuffle,2,0.8613452101461956,0.006120629392107557,vintern_clean
N14,token_split,2,0.8559499753527959,0.011515864185507207,vintern_clean
N16,money_noise,2,0.7897389006388092,0.07772693889949389,vintern_clean
N17,date_noise,2,0.8621901773548132,0.00527566218348996,vintern_clean
N18,code_noise,2,0.8574756055685538,0.009990233969749296,vintern_clean
N20,mixed_noise,2,0.6953658925669631,0.17209994697134,vintern_clean
