condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.8779563257848266,0.0,vintern_clean
N1,accent_removal,1,0.802078948092385,0.07587737769244163,vintern_clean
N1,accent_removal,3,0.802078948092385,0.07587737769244163,vintern_clean
N2,tone_confusion,1,0.8669778246582892,0.010978501126537421,vintern_clean
N2,tone_confusion,3,0.8470192872128178,0.0309370385720088,vintern_clean
N3,vowel_diacritic_confusion,1,0.8743596669993637,0.0035966587854628917,vintern_clean
N3,vowel_diacritic_confusion,3,0.8589749954843078,0.01898133030051885,vintern_clean
N4,dd_confusion,1,0.8776043936952247,0.0003519320896019362,vintern_clean
N4,dd_confusion,3,0.878799017619838,-0.0008426918350113999,vintern_clean
N5,character_confusion,1,0.8609234813212776,0.017032844463549024,vintern_clean
N5,character_confusion,3,0.8199551337530068,0.05800119203181986,vintern_clean
N6,glyph_confusion,1,0.8773295531117224,0.0006267726731041812,vintern_clean
N6,glyph_confusion,3,0.8769028034400268,0.0010535223447998288,vintern_clean
N7,character_deletion,1,0.8623081342959744,0.015648191488852214,vintern_clean
N7,character_deletion,3,0.8195674932382149,0.05838883254661176,vintern_clean
N10,token_deletion,1,0.8576586404287244,0.020297685356102213,vintern_clean
N10,token_deletion,3,0.8148996637159714,0.06305666206885518,vintern_clean
N13,line_shuffle,1,0.8732628013083623,0.004693524476464317,vintern_clean
N13,line_shuffle,3,0.8665485857993747,0.01140773998545197,vintern_clean
N14,token_split,1,0.8675273305383374,0.010428995246489214,vintern_clean
N14,token_split,3,0.8377122981857333,0.04024402759909329,vintern_clean
N16,money_noise,1,0.8392882600425702,0.03866806574225645,vintern_clean
N16,money_noise,3,0.7549026650482752,0.12305366073655144,vintern_clean
N17,date_noise,1,0.8736097330630808,0.004346592721745868,vintern_clean
N17,date_noise,3,0.8686895719975511,0.009266753787275483,vintern_clean
N18,code_noise,1,0.8732636792994343,0.00469264648539236,vintern_clean
N18,code_noise,3,0.8643848156633146,0.013571510121512032,vintern_clean
N20,mixed_noise,1,0.783433700306488,0.09452262547833867,vintern_clean
N20,mixed_noise,3,0.6305465717740575,0.24740975401076915,vintern_clean
