noise_type,short,anls_baseline,anls_aug,anls_consistency,drop_baseline,drop_aug,drop_consistency,delta_aug,delta_consistency,R_aug,R_consistency,rho_aug,rho_consistency,eta_baseline,eta_aug,eta_consistency,below_floor
accent_removal,accent,0.8095634142920082,0.8348077019506082,0.8248216090538771,0.03150309066514,0.0186111452568508,0.0149279671770949,0.025244287658599984,0.01525819476186896,0.012891945408289203,0.0165751234880451,0.4092279562447785,0.5261427732354667,0.962543876757112,0.9781922495410666,0.9822233108540575,False
tone_confusion,tone,0.8308823802463593,0.8425407424614271,0.829605936667989,0.0101841247107888,0.0108781047460319,0.0101436395629831,0.011658362215067775,-0.001276443578370312,-0.0006939800352431004,4.04851478056998e-05,-0.06814331667677997,0.003975319328406335,0.9878914156600401,0.9872534983477023,0.9879206374732445,False
vowel_diacritic_confusion,vowel,0.8329216291852275,0.8441732238200096,0.8357181564425451,0.0081448757719206,0.0092456233874493,0.004031419788427,0.011251594634782092,0.0027965272573176048,-0.0011007476155287,0.004113455983493599,-0.1351460287857944,0.5050360617745342,0.9903160145792089,0.9891663707478423,0.995199259514341,False
dd_confusion,dd,0.8412601336696792,0.8519281588929015,0.8397336820317813,-0.000193628712531,0.0014906883145574,1.589419919079127e-05,0.0106680252232223,-0.0015264516378978854,-0.0016843170270884002,-0.00020952291172179126,,,1.0002302180759663,0.9982532746734675,0.9999810726916206,True
character_confusion,char_conf,0.8240247802910253,0.8479654141195497,0.8368761559706049,0.0170417246661228,0.0054534330879092,0.0028734202603671,0.023940633828524405,0.012851375679579613,0.0115882915782136,0.0141683044057557,0.6799952355321135,0.8313891160277243,0.9797379582165252,0.9936098984622218,0.996578241488059,False
glyph_confusion,glyph,0.8402525823004432,0.8526147300974465,0.8389415926279252,0.0008139226567049,0.0008041171100124,0.0008079836030469,0.012362147797003287,-0.0013109896725179704,9.805546692499964e-06,5.939053657999971e-06,,,0.9990322731295233,0.9990577696840846,0.9990378279121338,True
character_deletion,char_del,0.820409219622323,0.8356670791894518,0.8224715323938532,0.0206572853348251,0.0177517680180071,0.0172780438371189,0.015257859567128773,0.002062312771530128,0.0029055173168179987,0.0033792414977062007,0.14065339514479813,0.16358594282518357,0.9754391772671085,0.9791992313316091,0.9794247662324909,False
token_deletion,token_del,0.8185078704774854,0.8362689397228715,0.82200550530031,0.0225586344796627,0.0171499074845874,0.0177440709306621,0.01776106924538612,0.0034976348228246135,0.005408726995075299,0.004814563549000599,0.23976304948561633,0.21342442306696696,0.9731785366000134,0.979904465971539,0.9788698066269919,False
line_shuffle,line_shuf,0.835860710465917,0.849206386486342,0.8351196547437848,0.0052057944912311,0.004212460721117,0.0046299214871873,0.013345676020424913,-0.0007410557221322334,0.0009933337701141,0.0005758730040438002,,,0.993810484116834,0.9950640172350295,0.9944865450150416,True
token_split,token_split,0.8270264906403425,0.8440901360471148,0.8290422108189847,0.0140400143168056,0.0093287111603441,0.0107073654119874,0.0170636454067723,0.0020157201786421552,0.0047113031564615,0.0033326489048182,0.3355625607035293,0.23736791356609155,0.9833068916262204,0.9890690120204523,0.987249335141025,False
money_noise,money,0.7911215465912109,0.8421372737295882,0.8263359122250347,0.0499449583659372,0.0112815734778707,0.0134136640059374,0.05101572713837732,0.03521436563382374,0.038663384888066504,0.0365312943599998,0.774119874218079,0.7314310704264074,0.9406171116415082,0.986780730804357,0.9840265903245325,False
date_noise,date,0.8391925885227055,0.8536451903088021,0.8395599984340413,0.0018739164344426,-0.0002263431013431,0.0001895777969308,0.014452601786096642,0.00036740991133576983,0.0021002595357857,0.0016843386375118,,,0.9977719759098739,1.0002652192438495,0.9997742448435857,True
code_noise,code,0.8352847725050091,0.8507102017151935,0.8370134823445764,0.005781732452139,0.0027086454922654,0.0027360938863957,0.015425429210184416,0.0017287098395672995,0.0030730869598736004,0.0030456385657433,,,0.9931257131058457,0.99682612412284,0.9967417740194927,True
mixed_noise,mixed,0.7422476158392687,0.806152617540921,0.7911205411877049,0.0988188891178795,0.0472662296665379,0.0486290350432672,0.06390500170165236,0.048872925348436236,0.051552659451341604,0.0501898540746123,0.5216883119364482,0.5078973718753468,0.8825076393656714,0.9446154372835782,0.94209102758762,False
