condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.8645493334553865,0.0,vintern_consistency
N1,accent_removal,1,0.8192198034587294,0.04532952999665718,vintern_consistency
N1,accent_removal,3,0.8192198034587294,0.04532952999665718,vintern_consistency
N2,tone_confusion,1,0.8552787807419784,0.009270552713408153,vintern_consistency
N2,tone_confusion,3,0.8392837733005195,0.02526556015486703,vintern_consistency
N3,vowel_diacritic_confusion,1,0.8607803391558793,0.003768994299507278,vintern_consistency
N3,vowel_diacritic_confusion,3,0.8478054499400769,0.016743883515309643,vintern_consistency
N4,dd_confusion,1,0.8642094337418001,0.00033989971358638904,vintern_consistency
N4,dd_confusion,3,0.8647332941752379,-0.00018396071985138374,vintern_consistency
N5,character_confusion,1,0.8535964637999133,0.010952869655473263,vintern_consistency
N5,character_confusion,3,0.8289290993274567,0.035620234127929806,vintern_consistency
N6,glyph_confusion,1,0.8641345177784214,0.0004148156769651079,vintern_consistency
N6,glyph_confusion,3,0.8629275732047595,0.0016217602506269913,vintern_consistency
N7,character_deletion,1,0.8466264209616213,0.01792291249376521,vintern_consistency
N7,character_deletion,3,0.8043618996770494,0.06018743377833713,vintern_consistency
N10,token_deletion,1,0.8433154872976967,0.021233846157689862,vintern_consistency
N10,token_deletion,3,0.7989879450238219,0.06556138843156467,vintern_consistency
N13,line_shuffle,1,0.8595758213409803,0.00497351211440622,vintern_consistency
N13,line_shuffle,3,0.8534005939603331,0.011148739495053461,vintern_consistency
N14,token_split,1,0.8551509610332133,0.009398372422173229,vintern_consistency
N14,token_split,3,0.8337149759607267,0.030834357494659792,vintern_consistency
N16,money_noise,1,0.8424137151549297,0.02213561830045685,vintern_consistency
N16,money_noise,3,0.7959281895483394,0.0686211439070471,vintern_consistency
N17,date_noise,1,0.8634433455802125,0.0011059878751740193,vintern_consistency
N17,date_noise,3,0.8606216394177864,0.003927694037600182,vintern_consistency
N18,code_noise,1,0.8617892158335387,0.002760117621847802,vintern_consistency
N18,code_noise,3,0.8545423098569429,0.010007023598443632,vintern_consistency
N20,mixed_noise,1,0.8020155024832142,0.06253383097217236,vintern_consistency
N20,mixed_noise,3,0.6907800186571168,0.17376931479826974,vintern_consistency
