condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.8617603623120306,0.0,vintern_aug
N1,accent_removal,2,0.8317144043667085,0.030045957945322055,vintern_aug
N2,tone_confusion,2,0.8544654434926732,0.007294918819357399,vintern_aug
N3,vowel_diacritic_confusion,2,0.8536411427713675,0.00811921954066308,vintern_aug
N4,dd_confusion,2,0.8622910063692192,-0.0005306440571886117,vintern_aug
N5,character_confusion,2,0.8406832324495506,0.021077129862480004,vintern_aug
N6,glyph_confusion,2,0.8605617523255259,0.0011986099865046729,vintern_aug
N7,character_deletion,2,0.8285299091487686,0.03323045316326201,vintern_aug
N10,token_deletion,2,0.8268504653738982,0.0349098969381324,vintern_aug
N13,line_shuffle,2,0.8565086612575549,0.005251701054475699,vintern_aug
N14,token_split,2,0.8564260403679063,0.0053343219441243095,vintern_aug
N16,money_noise,2,0.8339850819652677,0.02777528034676291,vintern_aug
N17,date_noise,2,0.8616745564512247,8.580586080586539e-05,vintern_aug
N18,code_noise,2,0.8569209606404308,0.004839401671599797,vintern_aug
N20,mixed_noise,2,0.7823280334113426,0.07943232890068797,vintern_aug
