condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.8410665049571482,0.0,vit_clean
N1,accent_removal,2,0.8095634142920082,0.03150309066514001,vit_clean
N2,tone_confusion,2,0.8308823802463593,0.010184124710788889,vit_clean
N3,vowel_diacritic_confusion,2,0.8329216291852275,0.00814487577192069,vit_clean
N4,dd_confusion,2,0.8412601336696792,-0.00019362871253103542,vit_clean
N5,character_confusion,2,0.8240247802910253,0.01704172466612286,vit_clean
N6,glyph_confusion,2,0.8402525823004432,0.0008139226567049906,vit_clean
N7,character_deletion,2,0.820409219622323,0.020657285334825137,vit_clean
N10,token_deletion,2,0.8185078704774854,0.022558634479662776,vit_clean
N13,line_shuffle,2,0.835860710465917,0.005205794491231153,vit_clean
N14,token_split,2,0.8270264906403425,0.014040014316805682,vit_clean
N16,money_noise,2,0.7911215465912109,0.049944958365937264,vit_clean
N17,date_noise,2,0.8391925885227055,0.0018739164344426795,vit_clean
N18,code_noise,2,0.8352847725050091,0.005781732452139088,vit_clean
N20,mixed_noise,2,0.7422476158392687,0.0988188891178795,vit_clean
