condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.8717612089082971,0.0,vintern_aug
N1,accent_removal,1,0.8413008603507041,0.030460348557593053,vintern_aug
N1,accent_removal,3,0.8413008603507041,0.030460348557593053,vintern_aug
N2,tone_confusion,1,0.8676590509163461,0.0041021579919510165,vintern_aug
N2,tone_confusion,3,0.8523175405299304,0.019443668378366752,vintern_aug
N3,vowel_diacritic_confusion,1,0.8702783921892815,0.0014828167190156227,vintern_aug
N3,vowel_diacritic_confusion,3,0.8612187903320802,0.010542418576216961,vintern_aug
N4,dd_confusion,1,0.8713158716186562,0.00044533728964091246,vintern_aug
N4,dd_confusion,3,0.870732234458216,0.0010289744500810993,vintern_aug
N5,character_confusion,1,0.8666601757710231,0.005101033137274058,vintern_aug
N5,character_confusion,3,0.8495088515931565,0.022252357315140636,vintern_aug
N6,glyph_confusion,1,0.8712073198724354,0.0005538890358617321,vintern_aug
N6,glyph_confusion,3,0.871162279174736,0.0005989297335611266,vintern_aug
N7,character_deletion,1,0.854548538327837,0.017212670580460165,vintern_aug
N7,character_deletion,3,0.8250600003928276,0.04670120851546955,vintern_aug
N10,token_deletion,1,0.8517614016536329,0.019999807254664215,vintern_aug
N10,token_deletion,3,0.8143314818141798,0.05742972709411731,vintern_aug
N13,line_shuffle,1,0.8674553467995082,0.004305862108788916,vintern_aug
N13,line_shuffle,3,0.8629187560167816,0.008842452891515529,vintern_aug
N14,token_split,1,0.8631598451451166,0.008601363763180547,vintern_aug
N14,token_split,3,0.8431858395504644,0.02857536935783267,vintern_aug
N16,money_noise,1,0.8632164883994078,0.008544720508889325,vintern_aug
N16,money_noise,3,0.8404454526398928,0.03131575626840433,vintern_aug
N17,date_noise,1,0.8718482727216768,-8.706381337963975e-05,vintern_aug
N17,date_noise,3,0.8697207464701603,0.0020404624381368253,vintern_aug
N18,code_noise,1,0.8680237007970353,0.0037375081112618336,vintern_aug
N18,code_noise,3,0.8625839098431687,0.00917729906512843,vintern_aug
N20,mixed_noise,1,0.8265043687981849,0.04525684011011222,vintern_aug
N20,mixed_noise,3,0.742854093272587,0.1289071156357101,vintern_aug
