condition_id,noise_type,level,anls,drop_from_clean,model_tag
clean,clean,0,0.7866526035759053,0.0,mt5_clean
N1,accent_removal,1,0.7646975570087899,0.021955046567115333,mt5_clean
N1,accent_removal,3,0.7646975570087899,0.021955046567115333,mt5_clean
N5,character_confusion,1,0.7622807745879484,0.024371828987956867,mt5_clean
N5,character_confusion,3,0.7020982742474838,0.08455432932842144,mt5_clean
N7,character_deletion,1,0.7758827927450949,0.010769810830810411,mt5_clean
N7,character_deletion,3,0.7479926220116716,0.03865998156423367,mt5_clean
N10,token_deletion,1,0.77175186386566,0.014900739710245303,mt5_clean
N10,token_deletion,3,0.7478370412920278,0.0388155622838775,mt5_clean
N16,money_noise,1,0.7499506478635531,0.03670195571235213,mt5_clean
N16,money_noise,3,0.6510272011618349,0.1356254024140704,mt5_clean
N20,mixed_noise,1,0.7090494849661368,0.07760311860976843,mt5_clean
N20,mixed_noise,3,0.5640391560124487,0.22261344756345658,mt5_clean
